crop_id,image_id,split,crop_path,label,damage,pixels,x0,y0,x1,y1
hurricane-florence_00000449_c2_02,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c2_02.png,1,minor-damage,1555,774,356,845,413
hurricane-florence_00000449_c2_03,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c2_03.png,1,minor-damage,751,831,353,879,403
hurricane-florence_00000449_c3_00,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c3_00.png,2,major-damage,2601,185,452,267,534
hurricane-florence_00000449_c3_01,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c3_01.png,2,major-damage,1062,890,463,952,523
hurricane-florence_00000449_c3_02,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c3_02.png,2,major-damage,900,263,575,313,631
hurricane-florence_00000449_c3_03,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c3_03.png,2,major-damage,899,18,593,63,641
hurricane-florence_00000449_c3_04,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c3_04.png,2,major-damage,790,612,576,671,625
hurricane-florence_00000449_c3_05,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c3_05.png,2,major-damage,766,567,632,622,684
hurricane-michael_00000239_c1_00,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c1_00.png,0,no-damage,3098,436,223,521,307
hurricane-michael_00000239_c1_01,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c1_01.png,0,no-damage,3034,657,593,739,656
hurricane-michael_00000239_c1_02,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c1_02.png,0,no-damage,2824,656,316,734,385
hurricane-michael_00000239_c1_03,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c1_03.png,0,no-damage,2740,652,141,734,208
hurricane-michael_00000239_c1_04,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c1_04.png,0,no-damage,2534,656,470,728,540
hurricane-michael_00000239_c1_05,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c1_05.png,0,no-damage,2521,328,384,391,466
hurricane-michael_00000239_c2_00,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c2_00.png,1,minor-damage,1437,444,608,520,658
hurricane-michael_00000239_c2_01,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c2_01.png,1,minor-damage,1222,211,227,277,270
hurricane-michael_00000239_c2_02,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c2_02.png,1,minor-damage,1174,318,780,382,839
hurricane-michael_00000239_c2_03,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c2_03.png,1,minor-damage,1141,548,311,619,371
hurricane-michael_00000239_c2_04,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c2_04.png,1,minor-damage,1091,13,169,74,210
hurricane-michael_00000239_c2_05,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c2_05.png,1,minor-damage,1066,354,927,405,981
hurricane-michael_00000239_c3_00,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c3_00.png,2,major-damage,1451,109,678,175,744
hurricane-michael_00000239_c3_01,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c3_01.png,2,major-damage,913,142,505,186,562
hurricane-michael_00000239_c3_02,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c3_02.png,2,major-damage,890,136,391,198,428
hurricane-michael_00000239_c3_03,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c3_03.png,2,major-damage,768,217,461,263,504
hurricane-michael_00000239_c3_04,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c3_04.png,2,major-damage,740,353,162,400,207
hurricane-michael_00000239_c3_05,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c3_05.png,2,major-damage,723,975,151,1017,203
hurricane-michael_00000239_c4_00,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c4_00.png,3,destroyed,1252,220,279,281,333
hurricane-michael_00000239_c4_01,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c4_01.png,3,destroyed,649,146,617,191,658
hurricane-michael_00000239_c4_02,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c4_02.png,3,destroyed,629,858,622,908,662
hurricane-michael_00000239_c4_03,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c4_03.png,3,destroyed,613,145,740,190,780
hurricane-michael_00000239_c4_04,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c4_04.png,3,destroyed,585,888,756,933,793
hurricane-michael_00000239_c4_05,hurricane-michael_00000239,train,outputs\real_processed\damage_crops\hurricane-michael_00000239_c4_05.png,3,destroyed,515,493,960,529,1008
mexico-earthquake_00000030_c1_00,mexico-earthquake_00000030,train,outputs\real_processed\damage_crops\mexico-earthquake_00000030_c1_00.png,0,no-damage,40492,794,1,1024,355
mexico-earthquake_00000030_c1_01,mexico-earthquake_00000030,train,outputs\real_processed\damage_crops\mexico-earthquake_00000030_c1_01.png,0,no-damage,30816,172,0,450,274
mexico-earthquake_00000030_c1_02,mexico-earthquake_00000030,train,outputs\real_processed\damage_crops\mexico-earthquake_00000030_c1_02.png,0,no-damage,21873,861,405,1024,681
mexico-earthquake_00000030_c1_03,mexico-earthquake_00000030,train,outputs\real_processed\damage_crops\mexico-earthquake_00000030_c1_03.png,0,no-damage,18588,0,0,138,225
mexico-earthquake_00000030_c1_04,mexico-earthquake_00000030,train,outputs\real_processed\damage_crops\mexico-earthquake_00000030_c1_04.png,0,no-damage,17513,501,66,738,246
mexico-earthquake_00000030_c1_05,mexico-earthquake_00000030,train,outputs\real_processed\damage_crops\mexico-earthquake_00000030_c1_05.png,0,no-damage,15510,0,228,165,505
hurricane-matthew_00000285_c3_00,hurricane-matthew_00000285,train,outputs\real_processed\damage_crops\hurricane-matthew_00000285_c3_00.png,2,major-damage,323,328,580,366,618
hurricane-matthew_00000285_c3_01,hurricane-matthew_00000285,train,outputs\real_processed\damage_crops\hurricane-matthew_00000285_c3_01.png,2,major-damage,225,987,507,1023,543
hurricane-matthew_00000285_c4_00,hurricane-matthew_00000285,train,outputs\real_processed\damage_crops\hurricane-matthew_00000285_c4_00.png,3,destroyed,182,633,154,662,184
hurricane-matthew_00000285_c4_01,hurricane-matthew_00000285,train,outputs\real_processed\damage_crops\hurricane-matthew_00000285_c4_01.png,3,destroyed,62,378,683,405,710
socal-fire_00001066_c1_00,socal-fire_00001066,train,outputs\real_processed\damage_crops\socal-fire_00001066_c1_00.png,0,no-damage,9997,413,468,551,592
socal-fire_00001066_c1_01,socal-fire_00001066,train,outputs\real_processed\damage_crops\socal-fire_00001066_c1_01.png,0,no-damage,7831,940,325,1024,469
socal-fire_00001066_c1_02,socal-fire_00001066,train,outputs\real_processed\damage_crops\socal-fire_00001066_c1_02.png,0,no-damage,3975,769,443,880,557
socal-fire_00001066_c1_03,socal-fire_00001066,train,outputs\real_processed\damage_crops\socal-fire_00001066_c1_03.png,0,no-damage,3641,340,516,430,637
socal-fire_00001066_c1_04,socal-fire_00001066,train,outputs\real_processed\damage_crops\socal-fire_00001066_c1_04.png,0,no-damage,3577,13,482,118,595
socal-fire_00001066_c1_05,socal-fire_00001066,train,outputs\real_processed\damage_crops\socal-fire_00001066_c1_05.png,0,no-damage,2826,155,399,227,497
hurricane-harvey_00000174_c2_00,hurricane-harvey_00000174,train,outputs\real_processed\damage_crops\hurricane-harvey_00000174_c2_00.png,1,minor-damage,136,765,176,790,208
hurricane-michael_00000152_c1_00,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c1_00.png,0,no-damage,3700,378,136,441,236
hurricane-michael_00000152_c1_01,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c1_01.png,0,no-damage,2598,351,326,409,423
hurricane-michael_00000152_c1_02,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c1_02.png,0,no-damage,2517,479,17,536,119
hurricane-michael_00000152_c1_03,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c1_03.png,0,no-damage,2333,24,49,101,125
hurricane-michael_00000152_c1_04,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c1_04.png,0,no-damage,1783,221,704,285,765
hurricane-michael_00000152_c1_05,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c1_05.png,0,no-damage,1590,34,597,96,663
hurricane-michael_00000152_c2_00,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c2_00.png,1,minor-damage,2084,820,285,895,350
hurricane-michael_00000152_c2_01,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c2_01.png,1,minor-damage,1550,477,377,545,430
hurricane-michael_00000152_c2_02,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c2_02.png,1,minor-damage,1470,152,37,215,89
hurricane-michael_00000152_c2_03,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c2_03.png,1,minor-damage,1272,150,565,211,615
hurricane-michael_00000152_c2_04,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c2_04.png,1,minor-damage,1257,53,773,123,813
hurricane-michael_00000152_c2_05,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c2_05.png,1,minor-damage,1205,192,128,240,190
hurricane-michael_00000152_c3_00,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c3_00.png,2,major-damage,2564,871,949,996,1024
hurricane-michael_00000152_c3_01,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c3_01.png,2,major-damage,1996,774,725,864,780
hurricane-michael_00000152_c3_02,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c3_02.png,2,major-damage,1542,144,420,217,477
hurricane-michael_00000152_c3_03,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c3_03.png,2,major-damage,1290,14,522,64,604
hurricane-michael_00000152_c3_04,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c3_04.png,2,major-damage,1197,448,0,506,51
hurricane-michael_00000152_c3_05,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c3_05.png,2,major-damage,1140,373,831,428,883
hurricane-michael_00000152_c4_00,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c4_00.png,3,destroyed,1007,363,773,418,821
hurricane-michael_00000152_c4_01,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c4_01.png,3,destroyed,557,211,672,257,712
hurricane-michael_00000152_c4_02,hurricane-michael_00000152,train,outputs\real_processed\damage_crops\hurricane-michael_00000152_c4_02.png,3,destroyed,166,718,708,751,735
hurricane-florence_00000096_c1_00,hurricane-florence_00000096,train,outputs\real_processed\damage_crops\hurricane-florence_00000096_c1_00.png,0,no-damage,13234,266,612,425,814
hurricane-florence_00000096_c1_01,hurricane-florence_00000096,train,outputs\real_processed\damage_crops\hurricane-florence_00000096_c1_01.png,0,no-damage,11692,314,792,470,970
hurricane-florence_00000096_c1_02,hurricane-florence_00000096,train,outputs\real_processed\damage_crops\hurricane-florence_00000096_c1_02.png,0,no-damage,8082,856,487,968,629
hurricane-florence_00000096_c1_03,hurricane-florence_00000096,train,outputs\real_processed\damage_crops\hurricane-florence_00000096_c1_03.png,0,no-damage,7477,491,236,607,373
hurricane-florence_00000096_c1_04,hurricane-florence_00000096,train,outputs\real_processed\damage_crops\hurricane-florence_00000096_c1_04.png,0,no-damage,6449,664,299,801,398
hurricane-florence_00000096_c1_05,hurricane-florence_00000096,train,outputs\real_processed\damage_crops\hurricane-florence_00000096_c1_05.png,0,no-damage,6437,201,829,331,1007
socal-fire_00000106_c4_00,socal-fire_00000106,train,outputs\real_processed\damage_crops\socal-fire_00000106_c4_00.png,3,destroyed,1848,591,253,679,327
socal-fire_00000106_c4_01,socal-fire_00000106,train,outputs\real_processed\damage_crops\socal-fire_00000106_c4_01.png,3,destroyed,137,968,835,998,864
socal-fire_00000106_c4_02,socal-fire_00000106,train,outputs\real_processed\damage_crops\socal-fire_00000106_c4_02.png,3,destroyed,56,684,556,709,581
hurricane-matthew_00000050_c1_00,hurricane-matthew_00000050,train,outputs\real_processed\damage_crops\hurricane-matthew_00000050_c1_00.png,0,no-damage,267,17,706,57,744
hurricane-matthew_00000050_c1_01,hurricane-matthew_00000050,train,outputs\real_processed\damage_crops\hurricane-matthew_00000050_c1_01.png,0,no-damage,186,82,573,119,608
midwest-flooding_00000191_c1_00,midwest-flooding_00000191,train,outputs\real_processed\damage_crops\midwest-flooding_00000191_c1_00.png,0,no-damage,2174,131,267,207,327
midwest-flooding_00000191_c1_01,midwest-flooding_00000191,train,outputs\real_processed\damage_crops\midwest-flooding_00000191_c1_01.png,0,no-damage,2117,235,239,294,305
midwest-flooding_00000191_c1_02,midwest-flooding_00000191,train,outputs\real_processed\damage_crops\midwest-flooding_00000191_c1_02.png,0,no-damage,1562,715,462,773,537
midwest-flooding_00000191_c1_03,midwest-flooding_00000191,train,outputs\real_processed\damage_crops\midwest-flooding_00000191_c1_03.png,0,no-damage,1382,675,557,734,621
midwest-flooding_00000191_c1_04,midwest-flooding_00000191,train,outputs\real_processed\damage_crops\midwest-flooding_00000191_c1_04.png,0,no-damage,365,613,986,655,1018
midwest-flooding_00000191_c1_05,midwest-flooding_00000191,train,outputs\real_processed\damage_crops\midwest-flooding_00000191_c1_05.png,0,no-damage,363,656,518,693,559
santa-rosa-wildfire_00000067_c1_00,santa-rosa-wildfire_00000067,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000067_c1_00.png,0,no-damage,1024,143,425,191,473
santa-rosa-wildfire_00000067_c1_01,santa-rosa-wildfire_00000067,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000067_c1_01.png,0,no-damage,450,43,848,88,881
santa-rosa-wildfire_00000067_c1_02,santa-rosa-wildfire_00000067,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000067_c1_02.png,0,no-damage,429,141,405,190,435
santa-rosa-wildfire_00000067_c1_03,santa-rosa-wildfire_00000067,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000067_c1_03.png,0,no-damage,287,662,979,708,1024
santa-rosa-wildfire_00000067_c4_00,santa-rosa-wildfire_00000067,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000067_c4_00.png,3,destroyed,2881,25,684,132,771
santa-rosa-wildfire_00000067_c4_01,santa-rosa-wildfire_00000067,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000067_c4_01.png,3,destroyed,2760,12,434,85,518
santa-rosa-wildfire_00000067_c4_02,santa-rosa-wildfire_00000067,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000067_c4_02.png,3,destroyed,1220,668,801,723,862
santa-rosa-wildfire_00000067_c4_03,santa-rosa-wildfire_00000067,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000067_c4_03.png,3,destroyed,965,399,907,451,961
santa-rosa-wildfire_00000067_c4_04,santa-rosa-wildfire_00000067,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000067_c4_04.png,3,destroyed,280,454,907,495,945
hurricane-michael_00000100_c1_00,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c1_00.png,0,no-damage,2130,470,44,555,125
hurricane-michael_00000100_c1_01,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c1_01.png,0,no-damage,1517,348,48,418,100
hurricane-michael_00000100_c1_02,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c1_02.png,0,no-damage,1397,0,870,34,959
hurricane-michael_00000100_c1_03,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c1_03.png,0,no-damage,1082,659,577,719,633
hurricane-michael_00000100_c1_04,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c1_04.png,0,no-damage,879,0,959,33,1018
hurricane-michael_00000100_c1_05,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c1_05.png,0,no-damage,664,0,792,31,842
hurricane-michael_00000100_c2_00,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c2_00.png,1,minor-damage,2711,564,907,664,977
hurricane-michael_00000100_c2_01,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c2_01.png,1,minor-damage,2587,1,168,95,221
hurricane-michael_00000100_c2_02,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c2_02.png,1,minor-damage,1093,286,54,329,115
hurricane-michael_00000100_c2_03,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c2_03.png,1,minor-damage,838,51,486,96,548
hurricane-michael_00000100_c2_04,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c2_04.png,1,minor-damage,740,420,45,472,86
hurricane-michael_00000100_c2_05,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c2_05.png,1,minor-damage,354,15,592,59,623
hurricane-michael_00000100_c3_00,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c3_00.png,2,major-damage,2976,191,216,293,312
hurricane-michael_00000100_c3_01,hurricane-michael_00000100,train,outputs\real_processed\damage_crops\hurricane-michael_00000100_c3_01.png,2,major-damage,2934,21,238,117,292
mexico-earthquake_00000184_c1_00,mexico-earthquake_00000184,train,outputs\real_processed\damage_crops\mexico-earthquake_00000184_c1_00.png,0,no-damage,6365,222,346,367,456
mexico-earthquake_00000184_c1_01,mexico-earthquake_00000184,train,outputs\real_processed\damage_crops\mexico-earthquake_00000184_c1_01.png,0,no-damage,5513,918,253,1024,363
mexico-earthquake_00000184_c1_02,mexico-earthquake_00000184,train,outputs\real_processed\damage_crops\mexico-earthquake_00000184_c1_02.png,0,no-damage,5136,139,398,300,500
mexico-earthquake_00000184_c1_03,mexico-earthquake_00000184,train,outputs\real_processed\damage_crops\mexico-earthquake_00000184_c1_03.png,0,no-damage,4987,51,60,212,194
mexico-earthquake_00000184_c1_04,mexico-earthquake_00000184,train,outputs\real_processed\damage_crops\mexico-earthquake_00000184_c1_04.png,0,no-damage,4034,938,141,1024,272
mexico-earthquake_00000184_c1_05,mexico-earthquake_00000184,train,outputs\real_processed\damage_crops\mexico-earthquake_00000184_c1_05.png,0,no-damage,3567,0,385,82,489
socal-fire_00001330_c1_00,socal-fire_00001330,train,outputs\real_processed\damage_crops\socal-fire_00001330_c1_00.png,0,no-damage,6676,415,708,549,833
socal-fire_00001330_c1_01,socal-fire_00001330,train,outputs\real_processed\damage_crops\socal-fire_00001330_c1_01.png,0,no-damage,5605,726,22,879,115
socal-fire_00001330_c1_02,socal-fire_00001330,train,outputs\real_processed\damage_crops\socal-fire_00001330_c1_02.png,0,no-damage,5210,0,782,103,897
socal-fire_00001330_c1_03,socal-fire_00001330,train,outputs\real_processed\damage_crops\socal-fire_00001330_c1_03.png,0,no-damage,4977,426,128,531,238
socal-fire_00001330_c1_04,socal-fire_00001330,train,outputs\real_processed\damage_crops\socal-fire_00001330_c1_04.png,0,no-damage,4868,355,294,456,417
socal-fire_00001330_c1_05,socal-fire_00001330,train,outputs\real_processed\damage_crops\socal-fire_00001330_c1_05.png,0,no-damage,4445,273,221,388,307
midwest-flooding_00000103_c1_00,midwest-flooding_00000103,train,outputs\real_processed\damage_crops\midwest-flooding_00000103_c1_00.png,0,no-damage,2307,37,125,98,216
midwest-flooding_00000103_c1_01,midwest-flooding_00000103,train,outputs\real_processed\damage_crops\midwest-flooding_00000103_c1_01.png,0,no-damage,1653,719,188,790,251
midwest-flooding_00000103_c1_02,midwest-flooding_00000103,train,outputs\real_processed\damage_crops\midwest-flooding_00000103_c1_02.png,0,no-damage,1251,644,217,699,268
midwest-flooding_00000103_c1_03,midwest-flooding_00000103,train,outputs\real_processed\damage_crops\midwest-flooding_00000103_c1_03.png,0,no-damage,874,471,768,528,808
midwest-flooding_00000103_c1_04,midwest-flooding_00000103,train,outputs\real_processed\damage_crops\midwest-flooding_00000103_c1_04.png,0,no-damage,661,336,568,382,639
midwest-flooding_00000103_c1_05,midwest-flooding_00000103,train,outputs\real_processed\damage_crops\midwest-flooding_00000103_c1_05.png,0,no-damage,431,377,653,419,696
midwest-flooding_00000103_c2_00,midwest-flooding_00000103,train,outputs\real_processed\damage_crops\midwest-flooding_00000103_c2_00.png,1,minor-damage,73,428,712,453,738
hurricane-harvey_00000029_c1_00,hurricane-harvey_00000029,train,outputs\real_processed\damage_crops\hurricane-harvey_00000029_c1_00.png,0,no-damage,1787,310,299,380,380
hurricane-harvey_00000029_c1_01,hurricane-harvey_00000029,train,outputs\real_processed\damage_crops\hurricane-harvey_00000029_c1_01.png,0,no-damage,1598,322,188,382,262
hurricane-harvey_00000029_c1_02,hurricane-harvey_00000029,train,outputs\real_processed\damage_crops\hurricane-harvey_00000029_c1_02.png,0,no-damage,1489,11,520,80,584
hurricane-harvey_00000029_c1_03,hurricane-harvey_00000029,train,outputs\real_processed\damage_crops\hurricane-harvey_00000029_c1_03.png,0,no-damage,1460,370,166,448,230
hurricane-harvey_00000029_c1_04,hurricane-harvey_00000029,train,outputs\real_processed\damage_crops\hurricane-harvey_00000029_c1_04.png,0,no-damage,1437,138,574,209,637
hurricane-harvey_00000029_c1_05,hurricane-harvey_00000029,train,outputs\real_processed\damage_crops\hurricane-harvey_00000029_c1_05.png,0,no-damage,1428,41,342,104,403
hurricane-harvey_00000029_c2_00,hurricane-harvey_00000029,train,outputs\real_processed\damage_crops\hurricane-harvey_00000029_c2_00.png,1,minor-damage,1496,204,648,270,720
hurricane-harvey_00000029_c2_01,hurricane-harvey_00000029,train,outputs\real_processed\damage_crops\hurricane-harvey_00000029_c2_01.png,1,minor-damage,1317,118,698,186,761
hurricane-harvey_00000029_c2_02,hurricane-harvey_00000029,train,outputs\real_processed\damage_crops\hurricane-harvey_00000029_c2_02.png,1,minor-damage,1222,245,621,301,694
