id,source_split,split,pre_image,post_image,mask_path
socal-fire_00001179,train,train,data\xview2_real\train\images\socal-fire_00001179_pre_disaster.png,data\xview2_real\train\images\socal-fire_00001179_post_disaster.png,data\xview2_real\train\masks\socal-fire_00001179_post_disaster_target.png
hurricane-matthew_00000119,train,train,data\xview2_real\train\images\hurricane-matthew_00000119_pre_disaster.png,data\xview2_real\train\images\hurricane-matthew_00000119_post_disaster.png,data\xview2_real\train\masks\hurricane-matthew_00000119_post_disaster_target.png
hurricane-florence_00000061,train,train,data\xview2_real\train\images\hurricane-florence_00000061_pre_disaster.png,data\xview2_real\train\images\hurricane-florence_00000061_post_disaster.png,data\xview2_real\train\masks\hurricane-florence_00000061_post_disaster_target.png
hurricane-michael_00000284,train,train,data\xview2_real\train\images\hurricane-michael_00000284_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000284_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000284_post_disaster_target.png
socal-fire_00000076,train,train,data\xview2_real\train\images\socal-fire_00000076_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000076_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000076_post_disaster_target.png
palu-tsunami_00000187,train,train,data\xview2_real\train\images\palu-tsunami_00000187_pre_disaster.png,data\xview2_real\train\images\palu-tsunami_00000187_post_disaster.png,data\xview2_real\train\masks\palu-tsunami_00000187_post_disaster_target.png
hurricane-florence_00000403,train,train,data\xview2_real\train\images\hurricane-florence_00000403_pre_disaster.png,data\xview2_real\train\images\hurricane-florence_00000403_post_disaster.png,data\xview2_real\train\masks\hurricane-florence_00000403_post_disaster_target.png
hurricane-michael_00000296,train,train,data\xview2_real\train\images\hurricane-michael_00000296_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000296_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000296_post_disaster_target.png
santa-rosa-wildfire_00000325,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000325_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000325_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000325_post_disaster_target.png
hurricane-florence_00000514,train,train,data\xview2_real\train\images\hurricane-florence_00000514_pre_disaster.png,data\xview2_real\train\images\hurricane-florence_00000514_post_disaster.png,data\xview2_real\train\masks\hurricane-florence_00000514_post_disaster_target.png
socal-fire_00000193,train,train,data\xview2_real\train\images\socal-fire_00000193_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000193_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000193_post_disaster_target.png
hurricane-matthew_00000208,train,train,data\xview2_real\train\images\hurricane-matthew_00000208_pre_disaster.png,data\xview2_real\train\images\hurricane-matthew_00000208_post_disaster.png,data\xview2_real\train\masks\hurricane-matthew_00000208_post_disaster_target.png
hurricane-florence_00000103,train,train,data\xview2_real\train\images\hurricane-florence_00000103_pre_disaster.png,data\xview2_real\train\images\hurricane-florence_00000103_post_disaster.png,data\xview2_real\train\masks\hurricane-florence_00000103_post_disaster_target.png
socal-fire_00000789,train,train,data\xview2_real\train\images\socal-fire_00000789_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000789_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000789_post_disaster_target.png
midwest-flooding_00000355,train,train,data\xview2_real\train\images\midwest-flooding_00000355_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000355_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000355_post_disaster_target.png
hurricane-matthew_00000305,train,train,data\xview2_real\train\images\hurricane-matthew_00000305_pre_disaster.png,data\xview2_real\train\images\hurricane-matthew_00000305_post_disaster.png,data\xview2_real\train\masks\hurricane-matthew_00000305_post_disaster_target.png
socal-fire_00000697,train,train,data\xview2_real\train\images\socal-fire_00000697_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000697_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000697_post_disaster_target.png
hurricane-matthew_00000178,train,train,data\xview2_real\train\images\hurricane-matthew_00000178_pre_disaster.png,data\xview2_real\train\images\hurricane-matthew_00000178_post_disaster.png,data\xview2_real\train\masks\hurricane-matthew_00000178_post_disaster_target.png
hurricane-michael_00000537,train,train,data\xview2_real\train\images\hurricane-michael_00000537_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000537_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000537_post_disaster_target.png
hurricane-florence_00000368,train,train,data\xview2_real\train\images\hurricane-florence_00000368_pre_disaster.png,data\xview2_real\train\images\hurricane-florence_00000368_post_disaster.png,data\xview2_real\train\masks\hurricane-florence_00000368_post_disaster_target.png
hurricane-matthew_00000311,train,train,data\xview2_real\train\images\hurricane-matthew_00000311_pre_disaster.png,data\xview2_real\train\images\hurricane-matthew_00000311_post_disaster.png,data\xview2_real\train\masks\hurricane-matthew_00000311_post_disaster_target.png
palu-tsunami_00000044,train,train,data\xview2_real\train\images\palu-tsunami_00000044_pre_disaster.png,data\xview2_real\train\images\palu-tsunami_00000044_post_disaster.png,data\xview2_real\train\masks\palu-tsunami_00000044_post_disaster_target.png
socal-fire_00001149,train,train,data\xview2_real\train\images\socal-fire_00001149_pre_disaster.png,data\xview2_real\train\images\socal-fire_00001149_post_disaster.png,data\xview2_real\train\masks\socal-fire_00001149_post_disaster_target.png
socal-fire_00001300,train,train,data\xview2_real\train\images\socal-fire_00001300_pre_disaster.png,data\xview2_real\train\images\socal-fire_00001300_post_disaster.png,data\xview2_real\train\masks\socal-fire_00001300_post_disaster_target.png
socal-fire_00000197,train,train,data\xview2_real\train\images\socal-fire_00000197_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000197_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000197_post_disaster_target.png
socal-fire_00000240,train,train,data\xview2_real\train\images\socal-fire_00000240_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000240_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000240_post_disaster_target.png
hurricane-florence_00000496,train,train,data\xview2_real\train\images\hurricane-florence_00000496_pre_disaster.png,data\xview2_real\train\images\hurricane-florence_00000496_post_disaster.png,data\xview2_real\train\masks\hurricane-florence_00000496_post_disaster_target.png
palu-tsunami_00000106,train,train,data\xview2_real\train\images\palu-tsunami_00000106_pre_disaster.png,data\xview2_real\train\images\palu-tsunami_00000106_post_disaster.png,data\xview2_real\train\masks\palu-tsunami_00000106_post_disaster_target.png
santa-rosa-wildfire_00000189,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000189_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000189_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000189_post_disaster_target.png
socal-fire_00000422,train,train,data\xview2_real\train\images\socal-fire_00000422_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000422_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000422_post_disaster_target.png
hurricane-florence_00000529,train,train,data\xview2_real\train\images\hurricane-florence_00000529_pre_disaster.png,data\xview2_real\train\images\hurricane-florence_00000529_post_disaster.png,data\xview2_real\train\masks\hurricane-florence_00000529_post_disaster_target.png
hurricane-michael_00000492,train,train,data\xview2_real\train\images\hurricane-michael_00000492_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000492_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000492_post_disaster_target.png
socal-fire_00000710,train,train,data\xview2_real\train\images\socal-fire_00000710_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000710_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000710_post_disaster_target.png
socal-fire_00000660,train,train,data\xview2_real\train\images\socal-fire_00000660_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000660_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000660_post_disaster_target.png
socal-fire_00000817,train,train,data\xview2_real\train\images\socal-fire_00000817_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000817_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000817_post_disaster_target.png
santa-rosa-wildfire_00000276,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000276_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000276_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000276_post_disaster_target.png
santa-rosa-wildfire_00000333,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000333_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000333_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000333_post_disaster_target.png
santa-rosa-wildfire_00000063,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000063_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000063_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000063_post_disaster_target.png
santa-rosa-wildfire_00000042,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000042_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000042_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000042_post_disaster_target.png
palu-tsunami_00000112,train,train,data\xview2_real\train\images\palu-tsunami_00000112_pre_disaster.png,data\xview2_real\train\images\palu-tsunami_00000112_post_disaster.png,data\xview2_real\train\masks\palu-tsunami_00000112_post_disaster_target.png
hurricane-harvey_00000007,train,train,data\xview2_real\train\images\hurricane-harvey_00000007_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000007_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000007_post_disaster_target.png
socal-fire_00001320,train,train,data\xview2_real\train\images\socal-fire_00001320_pre_disaster.png,data\xview2_real\train\images\socal-fire_00001320_post_disaster.png,data\xview2_real\train\masks\socal-fire_00001320_post_disaster_target.png
hurricane-harvey_00000392,train,train,data\xview2_real\train\images\hurricane-harvey_00000392_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000392_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000392_post_disaster_target.png
hurricane-michael_00000208,train,train,data\xview2_real\train\images\hurricane-michael_00000208_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000208_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000208_post_disaster_target.png
palu-tsunami_00000164,train,train,data\xview2_real\train\images\palu-tsunami_00000164_pre_disaster.png,data\xview2_real\train\images\palu-tsunami_00000164_post_disaster.png,data\xview2_real\train\masks\palu-tsunami_00000164_post_disaster_target.png
hurricane-michael_00000377,train,train,data\xview2_real\train\images\hurricane-michael_00000377_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000377_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000377_post_disaster_target.png
hurricane-harvey_00000275,train,train,data\xview2_real\train\images\hurricane-harvey_00000275_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000275_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000275_post_disaster_target.png
socal-fire_00001304,train,train,data\xview2_real\train\images\socal-fire_00001304_pre_disaster.png,data\xview2_real\train\images\socal-fire_00001304_post_disaster.png,data\xview2_real\train\masks\socal-fire_00001304_post_disaster_target.png
santa-rosa-wildfire_00000036,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000036_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000036_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000036_post_disaster_target.png
santa-rosa-wildfire_00000158,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000158_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000158_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000158_post_disaster_target.png
mexico-earthquake_00000129,train,train,data\xview2_real\train\images\mexico-earthquake_00000129_pre_disaster.png,data\xview2_real\train\images\mexico-earthquake_00000129_post_disaster.png,data\xview2_real\train\masks\mexico-earthquake_00000129_post_disaster_target.png
midwest-flooding_00000225,train,train,data\xview2_real\train\images\midwest-flooding_00000225_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000225_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000225_post_disaster_target.png
midwest-flooding_00000032,train,train,data\xview2_real\train\images\midwest-flooding_00000032_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000032_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000032_post_disaster_target.png
socal-fire_00001045,train,train,data\xview2_real\train\images\socal-fire_00001045_pre_disaster.png,data\xview2_real\train\images\socal-fire_00001045_post_disaster.png,data\xview2_real\train\masks\socal-fire_00001045_post_disaster_target.png
socal-fire_00000236,train,train,data\xview2_real\train\images\socal-fire_00000236_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000236_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000236_post_disaster_target.png
socal-fire_00000445,train,train,data\xview2_real\train\images\socal-fire_00000445_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000445_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000445_post_disaster_target.png
socal-fire_00000535,train,train,data\xview2_real\train\images\socal-fire_00000535_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000535_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000535_post_disaster_target.png
santa-rosa-wildfire_00000105,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000105_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000105_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000105_post_disaster_target.png
hurricane-harvey_00000433,train,train,data\xview2_real\train\images\hurricane-harvey_00000433_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000433_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000433_post_disaster_target.png
hurricane-michael_00000536,train,train,data\xview2_real\train\images\hurricane-michael_00000536_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000536_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000536_post_disaster_target.png
midwest-flooding_00000087,train,train,data\xview2_real\train\images\midwest-flooding_00000087_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000087_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000087_post_disaster_target.png
hurricane-harvey_00000042,train,train,data\xview2_real\train\images\hurricane-harvey_00000042_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000042_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000042_post_disaster_target.png
socal-fire_00000438,train,train,data\xview2_real\train\images\socal-fire_00000438_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000438_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000438_post_disaster_target.png
midwest-flooding_00000170,train,train,data\xview2_real\train\images\midwest-flooding_00000170_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000170_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000170_post_disaster_target.png
midwest-flooding_00000093,train,train,data\xview2_real\train\images\midwest-flooding_00000093_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000093_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000093_post_disaster_target.png
socal-fire_00000391,train,train,data\xview2_real\train\images\socal-fire_00000391_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000391_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000391_post_disaster_target.png
mexico-earthquake_00000052,train,train,data\xview2_real\train\images\mexico-earthquake_00000052_pre_disaster.png,data\xview2_real\train\images\mexico-earthquake_00000052_post_disaster.png,data\xview2_real\train\masks\mexico-earthquake_00000052_post_disaster_target.png
hurricane-michael_00000066,train,train,data\xview2_real\train\images\hurricane-michael_00000066_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000066_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000066_post_disaster_target.png
santa-rosa-wildfire_00000324,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000324_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000324_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000324_post_disaster_target.png
hurricane-michael_00000543,train,train,data\xview2_real\train\images\hurricane-michael_00000543_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000543_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000543_post_disaster_target.png
hurricane-michael_00000476,train,train,data\xview2_real\train\images\hurricane-michael_00000476_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000476_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000476_post_disaster_target.png
hurricane-matthew_00000388,train,train,data\xview2_real\train\images\hurricane-matthew_00000388_pre_disaster.png,data\xview2_real\train\images\hurricane-matthew_00000388_post_disaster.png,data\xview2_real\train\masks\hurricane-matthew_00000388_post_disaster_target.png
hurricane-michael_00000530,train,train,data\xview2_real\train\images\hurricane-michael_00000530_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000530_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000530_post_disaster_target.png
socal-fire_00000434,train,train,data\xview2_real\train\images\socal-fire_00000434_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000434_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000434_post_disaster_target.png
hurricane-harvey_00000329,train,train,data\xview2_real\train\images\hurricane-harvey_00000329_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000329_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000329_post_disaster_target.png
hurricane-michael_00000059,train,train,data\xview2_real\train\images\hurricane-michael_00000059_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000059_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000059_post_disaster_target.png
guatemala-volcano_00000015,train,train,data\xview2_real\train\images\guatemala-volcano_00000015_pre_disaster.png,data\xview2_real\train\images\guatemala-volcano_00000015_post_disaster.png,data\xview2_real\train\masks\guatemala-volcano_00000015_post_disaster_target.png
santa-rosa-wildfire_00000175,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000175_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000175_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000175_post_disaster_target.png
hurricane-harvey_00000435,train,train,data\xview2_real\train\images\hurricane-harvey_00000435_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000435_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000435_post_disaster_target.png
hurricane-harvey_00000423,train,train,data\xview2_real\train\images\hurricane-harvey_00000423_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000423_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000423_post_disaster_target.png
socal-fire_00000348,train,train,data\xview2_real\train\images\socal-fire_00000348_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000348_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000348_post_disaster_target.png
mexico-earthquake_00000001,train,train,data\xview2_real\train\images\mexico-earthquake_00000001_pre_disaster.png,data\xview2_real\train\images\mexico-earthquake_00000001_post_disaster.png,data\xview2_real\train\masks\mexico-earthquake_00000001_post_disaster_target.png
midwest-flooding_00000405,train,train,data\xview2_real\train\images\midwest-flooding_00000405_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000405_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000405_post_disaster_target.png
hurricane-matthew_00000188,train,train,data\xview2_real\train\images\hurricane-matthew_00000188_pre_disaster.png,data\xview2_real\train\images\hurricane-matthew_00000188_post_disaster.png,data\xview2_real\train\masks\hurricane-matthew_00000188_post_disaster_target.png
